External ID,Location/Display Name,Product/Internal Reference,Product/Name,Product/Internal Category/Name,Quantity,Reserved Quantity
__export__.stock_quant_395825_53580844,AMPRU/Stock,AMP-X158,Двоичный счётчик SN74HC393N,Saleable,21,0
__export__.stock_quant_397864_a370ee97,AMPRU/Stock,AMP-X699,Дальномер Benewake TFmini-S LiDAR,Saleable,11,0
__export__.stock_quant_401211_dc2a0591,AMPRU/Stock,AMP-X346,Штекер AV 3.5mm,Saleable,19,0
__export__.stock_quant_401213_1b23cae1,AMPRU/Stock,AMP-S032,«Робоняша» — дополнение набора «Йодо»,Saleable,15,0
__export__.stock_quant_401576_1b6a84d8,AMPRU/Stock,AMP-X240,Кабельный ввод с амортизатором,Saleable,13,0
__export__.stock_quant_401577_7aa9e34e,AMPRU/Stock,AMP-B192,Troyka HAT,Saleable,13,0
__export__.stock_quant_401579_7de37a1a,AMPRU/Stock,AMP-B141,Iskra Mega,Saleable,64,3
__export__.stock_quant_401581_06fad35c,AMPRU/Stock,AMP-X246,Ручка потенциометра MF-A01,Saleable,6,0
__export__.stock_quant_401582_c69ecbdd,AMPRU/Stock,AMP-V14628,Цветной сенсорный HDMI-дисплей для Raspberry Pi 1024×600 / 7”,Saleable,12,0
__export__.stock_quant_402642_cbe03abf,AMPRU/Stock,AMP-X756,Корпус Retroflag NESPi 4 Case,Saleable,5,0
__export__.stock_quant_402643_163f6999,AMPRU/Stock,AMP-X757,Корпус Retroflag GPi Case,Saleable,8,0
__export__.stock_quant_403747_0ce563f4,AMPRU/Stock,AMP-X758,Wi-Fi-реле Sonoff BASIC R2,Saleable,9,0
__export__.stock_quant_404116_a7ce0f48,AMPRU/Stock,NOO-L012,Беспроводной выключатель nooLite SB-1-100 (100 Вт),Saleable,9,0
__export__.stock_quant_404117_01676fd5,AMPRU/Stock,NOO-L004,Пульт-брелок nooLite PN411 (4 канала),Saleable,5,0
__export__.stock_quant_404344_dce04d15,AMPRU/Stock,AMP-X244,Ручка потенциометра «Клюв»,Saleable,19,0
__export__.stock_quant_405034_474b8894,AMPRU/Stock,A000009,Бокс для Arduino,Saleable,6,0
__export__.stock_quant_405035_f8ae432e,AMPRU/Stock,AMP-X581,PETG-пластик FDplast / синий,Saleable,2,0
__export__.stock_quant_405036_1b84b136,AMPRU/Stock,AMP-X580,PETG-пластик FDplast / белый,Saleable,9,0
__export__.stock_quant_405040_b03f10c9,AMPRU/Stock,AMP-V11297,Универсальная камера для Raspberry Pi,Saleable,1,0
__export__.stock_quant_405041_a5d43f4d,AMPRU/Stock,AMP-X489,Корпус для Raspberry Pi 4 с двумя кулерами (LT-4B02 / алюминий / чёрный),Saleable,6,0
__export__.stock_quant_405042_ca085d74,AMPRU/Stock,AMP-X345,Штекер 3.5mm,Saleable,6,0
__export__.stock_quant_407053_71f00dd1,AMPRU/Stock,AMP-X305,Корпус для Raspberry Pi 3,Retirement,1,0
__export__.stock_quant_407696_a0ea94cd,AMPRU/Stock,AMP-X210,Цифровой датчик температуры и влажности DHT-21,Saleable,6,0
__export__.stock_quant_408618_67c7661c,AMPRU/Stock,AMP-E028,Объектив CGL 6 мм с креплением CS-mount,Saleable,5,0
__export__.stock_quant_408751_e0761ed6,AMPRU/Stock,AMP-S060,Паяльник в лапах: зверская пайка,Saleable,16,12
__export__.stock_quant_409318_66d21926,AMPRU/Stock,AMP-X268,Цветной сенсорный дисплей Nextion Enhanced 5” / 800×480”,Saleable,6,0
