"id","location_id/display_name","product_id/default_code","product_id/name","product_id/categ_id/name","quantity","reserved_quantity"
"__export__.stock_quant_363533_b6a0ad7e","MRPL/Stock","AMP-X726","Базовый модуль M5Stack CoreInk(K048) на базе платы микроконтроллера ESP32 со встроенным черно-белым E-inc дисплеем","Samples","1.0","0.0"
"__export__.stock_quant_363534_ead34cbf","MRPL/Stock","AMP-X727","Модуль цифрового датчика окружающей среды M5Stack EVN II (U001-B)","Samples","1.0","0.0"
"__export__.stock_quant_363535_973a5198","MRPL/Stock","AMP-X728","Модуль датчика инфракрасного излучателя/приемника M5Stack IR (U002)","Samples","1.0","0.0"
"__export__.stock_quant_363536_0ce49aef","MRPL/Stock","AMP-X729","Модуль инфракрасного датчика движения M5Stack PIR (U004)","Samples","1.0","0.0"
"__export__.stock_quant_363537_ac788ce8","MRPL/Stock","AMP-X730","Модуль регулятор димирования с потенциометром M5Stack ANGLE (U005)","Samples","1.0","0.0"
"__export__.stock_quant_363538_4e62665d","MRPL/Stock","AMP-X731","Модуль аппаратного расширителя интерфейсов GROVE I2C M5Stack UNIT-HUB (U006), 3 порта","Samples","1.0","0.0"
"__export__.stock_quant_363539_2a299ed0","MRPL/Stock","AMP-X732","Модуль датчика определения цвета M5Stack COLOR (U009)","Samples","1.0","0.0"
"__export__.stock_quant_363540_f1657a8f","MRPL/Stock","AMP-X733","Модуль лазерного дальномера M5Stack ToF (U010)","Samples","1.0","0.0"
"__export__.stock_quant_363541_cb544bfa","MRPL/Stock","AMP-X734","Модуль камеры M5Stack M5Camera (U017) на базе микропроцессора ESP32 в корпусе, LEGO-совместимые крепления","Samples","1.0","0.0"
"__export__.stock_quant_363542_70c1963b","MRPL/Stock","AMP-X735","Модуль датчика освещённости M5Stack LIGHT (U021) с настраиваемым фоторезистором","Samples","1.0","0.0"
"__export__.stock_quant_363543_5d86fe91","MRPL/Stock","AMP-X736","Модуль управления M5Stack UNIT-DUAL BUTTON (U025) с двумя кнопками без фиксации","Samples","1.0","0.0"
"__export__.stock_quant_363544_058d9a0b","MRPL/Stock","AMP-X737","Модуль мини-клавиатуры M5Stack CardKB (U035) для подключения к блоку управления","Samples","1.0","0.0"
"__export__.stock_quant_363545_bbe65f81","MRPL/Stock","AMP-X738","Модуль камеры M5Stack M5CAMX (U038) на базе микропроцессора ESP32 с LEGO-совместимыми и настенными креплениями","Samples","1.0","0.0"
"__export__.stock_quant_363546_a8ba4d33","MRPL/Stock","AMP-X739","Модуль разветвитель M5Stack Pa.HUB (U040) для цифровых устройств с интерфейсом GROVE I2C","Samples","1.0","0.0"
"__export__.stock_quant_363547_0023a7e0","MRPL/Stock","AMP-X740","Модуль разветвитель M5Stack Pb.HUB (U041) для цифро-аналоговых устройств с интерфейсом GROVE I/O","Samples","1.0","0.0"
"__export__.stock_quant_363548_8b95c739","MRPL/Stock","AMP-X741","Модуль датчика температуры, давления и влажности M5Stack ENV Hat II (U053-B) для подключения к блоку управления M5StickC","Samples","1.0","0.0"
